17/12/2022 02:33:51AM | Item: SCAR-20 | Poultrygeist (Field-Tested) | Float: 0.17509044706821442 | Price: 0.37 |
17/12/2022 01:06:21PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.15730035305023193 | Price: 0.41 |
17/12/2022 01:06:30PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.2268589287996292 | Price: 0.43 |
17/12/2022 01:06:35PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.21264739334583282 | Price: 0.43 |
17/12/2022 01:06:43PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.23645687103271484 | Price: 0.41 |
17/12/2022 01:06:49PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2401961386203766 | Price: 0.42 |
17/12/2022 01:06:55PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.22952823340892792 | Price: 0.43 |
17/12/2022 01:07:01PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.24558429419994354 | Price: 0.43 |
17/12/2022 01:07:13PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.08147230744361877 | Price: 0.88 |
17/12/2022 01:07:19PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.07914659380912781 | Price: 0.89 |
17/12/2022 01:12:53PM | Item: XM1014 | Quicksilver (Field-Tested) | Float: 0.160495787858963 | Price: 0.65 |
17/12/2022 01:13:17PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.11973170936107635 | Price: 0.81 |
17/12/2022 01:13:23PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.08695225417613983 | Price: 0.83 |
17/12/2022 01:47:33PM | Item: MP9 | Modest Threat (Field-Tested) | Float: 0.15149948000907898 | Price: 0.34 |
17/12/2022 01:48:18PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.22665825486183167 | Price: 0.43 |
17/12/2022 01:48:24PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.2268589287996292 | Price: 0.43 |
17/12/2022 01:48:33PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.2348005324602127 | Price: 0.42 |
17/12/2022 01:48:38PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.24558429419994354 | Price: 0.43 |
17/12/2022 01:48:52PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.07914659380912781 | Price: 0.89 |
17/12/2022 01:52:58PM | Item: Tec-9 | Flash Out (Field-Tested) | Float: 0.15744410455226898 | Price: 0.37 |
17/12/2022 01:53:50PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.08695225417613983 | Price: 0.83 |
17/12/2022 01:53:56PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.1048993244767189 | Price: 0.83 |
17/12/2022 02:19:13PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.2268589287996292 | Price: 0.43 |
17/12/2022 02:22:31PM | Item: MAC-10 | Calf Skin (Field-Tested) | Float: 0.19930925965309143 | Price: 0.43 |
17/12/2022 02:23:01PM | Item: Nova | Caged Steel (Minimal Wear) | Float: 0.08379043638706207 | Price: 0.88 |
17/12/2022 02:28:06PM | Item: XM1014 | Quicksilver (Field-Tested) | Float: 0.18231049180030823 | Price: 0.62 |
17/12/2022 02:28:27PM | Item: MP7 | Akoben (Minimal Wear) | Float: 0.1048993244767189 | Price: 0.83 |
17/12/2022 02:48:27PM | Item: MAG-7 | Foresight (Field-Tested) | Float: 0.16943538188934326 | Price: 0.37 |
17/12/2022 02:58:38PM | Item: R8 Revolver | Nitro (Field-Tested) | Float: 0.24910205602645874 | Price: 0.43 |
17/12/2022 03:02:40PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.07846031337976456 | Price: 0.88 |
17/12/2022 03:02:45PM | Item: G3SG1 | Green Apple (Minimal Wear) | Float: 0.07350084185600281 | Price: 0.88 |
